Y (ang)	el Psi 1
1.898000e+003	2.8959e-002
1.900000e+003	3.2234e-002
1.902000e+003	3.5880e-002
1.904000e+003	3.9545e-002
1.906000e+003	4.2760e-002
1.908000e+003	4.5918e-002
1.910000e+003	4.9016e-002
1.912000e+003	5.2049e-002
1.914000e+003	5.5015e-002
1.916000e+003	5.7909e-002
1.918000e+003	6.0729e-002
1.920000e+003	6.3472e-002
1.922000e+003	6.6135e-002
1.924000e+003	6.8715e-002
1.926000e+003	7.1209e-002
1.928000e+003	7.3616e-002
1.930000e+003	7.5932e-002
1.932000e+003	7.8156e-002
1.934000e+003	8.0286e-002
1.936000e+003	8.2319e-002
1.938000e+003	8.4255e-002
1.940000e+003	8.6091e-002
1.942000e+003	8.7827e-002
1.944000e+003	8.9460e-002
1.946000e+003	9.0991e-002
1.948000e+003	9.2417e-002
1.950000e+003	9.3738e-002
1.952000e+003	9.4953e-002
1.954000e+003	9.6062e-002
1.956000e+003	9.7064e-002
1.958000e+003	9.7958e-002
1.960000e+003	9.8746e-002
1.962000e+003	9.9425e-002
1.964000e+003	9.9997e-002
1.966000e+003	1.0046e-001
1.968000e+003	1.0082e-001
1.970000e+003	1.0107e-001
1.972000e+003	1.0121e-001
1.974000e+003	1.0125e-001
1.976000e+003	1.0118e-001
1.978000e+003	1.0101e-001
1.980000e+003	1.0074e-001
1.982000e+003	1.0036e-001
1.984000e+003	9.9877e-002
1.986000e+003	9.9295e-002
1.988000e+003	9.8614e-002
1.990000e+003	9.7834e-002
1.992000e+003	9.6957e-002
1.994000e+003	9.5984e-002
1.996000e+003	9.4916e-002
1.998000e+003	9.3756e-002
2.000000e+003	9.2505e-002
2.002000e+003	9.1164e-002
2.004000e+003	8.9735e-002
2.006000e+003	8.8220e-002
2.008000e+003	8.6620e-002
2.010000e+003	8.4938e-002
2.012000e+003	8.3176e-002
2.014000e+003	8.1336e-002
2.016000e+003	7.9419e-002
2.018000e+003	7.7427e-002
2.020000e+003	7.5364e-002
2.022000e+003	7.3231e-002
2.024000e+003	7.1030e-002
2.026000e+003	6.8763e-002
2.028000e+003	6.6434e-002
2.030000e+003	6.4043e-002
2.032000e+003	6.1595e-002
2.034000e+003	5.9090e-002
2.036000e+003	5.6533e-002
2.038000e+003	5.3924e-002
2.040000e+003	5.1266e-002
2.042000e+003	4.8563e-002
2.044000e+003	4.5817e-002
2.046000e+003	4.3030e-002
2.048000e+003	4.0204e-002
2.050000e+003	3.7343e-002
2.052000e+003	3.4450e-002
2.054000e+003	3.1171e-002
2.056000e+003	2.7916e-002
2.058000e+003	2.5000e-002
2.060000e+003	2.2389e-002
2.062000e+003	2.0050e-002
2.064000e+003	1.7955e-002
2.066000e+003	1.6079e-002
2.068000e+003	1.4398e-002
2.070000e+003	1.2893e-002
2.072000e+003	1.1545e-002
2.074000e+003	1.0338e-002
2.076000e+003	9.2571e-003
2.078000e+003	8.2889e-003
2.080000e+003	7.4219e-003
2.082000e+003	6.6454e-003
2.084000e+003	5.9501e-003
2.086000e+003	5.3275e-003
2.088000e+003	4.7699e-003
2.090000e+003	4.2706e-003
2.092000e+003	3.8235e-003
2.094000e+003	3.4232e-003
2.096000e+003	3.0647e-003
2.098000e+003	2.7438e-003
2.100000e+003	2.4564e-003
2.102000e+003	2.1990e-003
2.104000e+003	1.9686e-003
2.106000e+003	1.7623e-003
2.108000e+003	1.5776e-003
2.110000e+003	1.4123e-003
2.112000e+003	1.2642e-003
2.114000e+003	1.1317e-003
2.116000e+003	1.0130e-003
2.118000e+003	9.0676e-004
2.120000e+003	8.1165e-004
2.122000e+003	7.2650e-004
2.124000e+003	6.5028e-004
2.126000e+003	5.8204e-004
2.128000e+003	5.2095e-004
2.130000e+003	4.6627e-004
2.132000e+003	4.1732e-004
2.134000e+003	3.7351e-004
2.136000e+003	3.3429e-004
2.138000e+003	2.9918e-004
2.140000e+003	2.6775e-004
2.142000e+003	2.3963e-004
2.144000e+003	2.1445e-004
2.146000e+003	1.9192e-004
2.148000e+003	1.7175e-004
2.150000e+003	1.5369e-004
2.152000e+003	1.3754e-004
2.154000e+003	1.2308e-004
2.156000e+003	1.1014e-004
2.158000e+003	9.8554e-005
2.160000e+003	8.8188e-005
2.162000e+003	7.8911e-005
2.164000e+003	7.0609e-005
2.166000e+003	6.3180e-005
2.168000e+003	5.6531e-005
2.170000e+003	5.0581e-005
2.172000e+003	4.5257e-005
2.174000e+003	4.0493e-005
2.176000e+003	3.6230e-005
2.178000e+003	3.2415e-005
2.180000e+003	2.9001e-005
2.182000e+003	2.5947e-005
2.184000e+003	2.3214e-005
2.186000e+003	2.0769e-005
2.188000e+003	1.8581e-005
2.190000e+003	1.6624e-005
2.192000e+003	1.4873e-005
2.194000e+003	1.3307e-005
2.196000e+003	1.1905e-005
2.198000e+003	1.0651e-005
2.200000e+003	9.5301e-006
2.202000e+003	8.5271e-006
2.204000e+003	7.6300e-006
2.206000e+003	6.8278e-006
2.208000e+003	6.1105e-006
2.210000e+003	5.4691e-006
2.212000e+003	4.8958e-006
2.214000e+003	4.3834e-006
2.216000e+003	3.9256e-006
2.218000e+003	3.5166e-006
2.220000e+003	3.1514e-006
2.222000e+003	2.8255e-006
2.224000e+003	2.5348e-006
2.226000e+003	2.2757e-006
2.228000e+003	2.0450e-006
2.230000e+003	1.8397e-006
2.232000e+003	1.6575e-006
2.234000e+003	1.4959e-006
2.236000e+003	1.3529e-006
2.238000e+003	1.2269e-006
2.240000e+003	1.1162e-006
2.242000e+003	1.0194e-006
2.244000e+003	9.3538e-007
2.246000e+003	8.6304e-007
2.248000e+003	8.0149e-007
2.250000e+003	7.4997e-007
2.252000e+003	7.0784e-007
2.254000e+003	5.3533e-007
2.256000e+003	3.3832e-007
2.258000e+003	2.1382e-007
2.260000e+003	1.3516e-007
2.262000e+003	8.5479e-008
2.264000e+003	5.4131e-008
2.266000e+003	3.4396e-008
2.268000e+003	2.2040e-008
2.270000e+003	1.4413e-008
2.272000e+003	9.8797e-009
2.274000e+003	8.5699e-009
2.276000e+003	8.3580e-009
2.278000e+003	8.1415e-009
2.280000e+003	7.9207e-009
2.282000e+003	7.6955e-009
2.284000e+003	7.4662e-009
2.286000e+003	7.2329e-009
2.288000e+003	6.9957e-009
2.290000e+003	6.7549e-009
2.292000e+003	6.5104e-009
2.294000e+003	4.9440e-009
2.296000e+003	3.1221e-009
2.298000e+003	1.9716e-009
2.300000e+003	1.2453e-009
2.302000e+003	7.8692e-010
2.304000e+003	4.9790e-010
2.306000e+003	3.1604e-010
2.308000e+003	2.0223e-010
2.310000e+003	1.3197e-010
2.312000e+003	9.0128e-011
2.314000e+003	7.7952e-011
2.316000e+003	7.5988e-011
2.318000e+003	7.3987e-011
2.320000e+003	7.1950e-011
2.322000e+003	6.9880e-011
2.324000e+003	6.7776e-011
2.326000e+003	6.5640e-011
2.328000e+003	6.3474e-011
2.330000e+003	6.1278e-011
2.332000e+003	5.9054e-011
2.334000e+003	4.4822e-011
2.336000e+003	2.8283e-011
2.338000e+003	1.7847e-011
2.340000e+003	1.1263e-011
2.342000e+003	7.1116e-012
2.344000e+003	4.4957e-012
2.346000e+003	2.8508e-012
2.348000e+003	1.8217e-012
2.350000e+003	1.1863e-012
2.352000e+003	8.0721e-013
2.354000e+003	6.9613e-013
2.356000e+003	6.7826e-013
2.358000e+003	6.6011e-013
2.360000e+003	6.4169e-013
2.362000e+003	6.2300e-013
2.364000e+003	6.0405e-013
2.366000e+003	5.8486e-013
2.368000e+003	5.6543e-013
2.370000e+003	5.4577e-013
2.372000e+003	5.2590e-013
2.374000e+003	3.9896e-013
2.376000e+003	2.5154e-013
2.378000e+003	1.5860e-013
2.380000e+003	1.0002e-013
2.382000e+003	6.3100e-014
2.384000e+003	3.9854e-014
2.386000e+003	2.5247e-014
2.388000e+003	1.6112e-014
2.390000e+003	1.0470e-014
2.392000e+003	7.0987e-015
2.394000e+003	6.1042e-015
2.396000e+003	5.9447e-015
2.398000e+003	5.7830e-015
2.400000e+003	5.6194e-015
2.402000e+003	5.4538e-015
2.404000e+003	5.2862e-015
2.406000e+003	5.1169e-015
2.408000e+003	4.9458e-015
2.410000e+003	4.7731e-015
2.412000e+003	4.5987e-015
2.414000e+003	3.4869e-015
2.416000e+003	2.1968e-015
2.418000e+003	1.3840e-015
2.420000e+003	8.7211e-016
2.422000e+003	5.4975e-016
2.424000e+003	3.4693e-016
2.426000e+003	2.1955e-016
2.428000e+003	1.3993e-016
2.430000e+003	9.0742e-017
2.432000e+003	6.1304e-017
2.434000e+003	5.2564e-017
2.436000e+003	5.1166e-017
2.438000e+003	4.9753e-017
2.440000e+003	4.8326e-017
2.442000e+003	4.6885e-017
2.444000e+003	4.5430e-017
2.446000e+003	4.3963e-017
2.448000e+003	4.2484e-017
2.450000e+003	4.0993e-017
2.452000e+003	3.9490e-017
2.454000e+003	2.9928e-017
2.456000e+003	1.8840e-017
2.458000e+003	1.1860e-017
2.460000e+003	7.4660e-018
2.462000e+003	4.7008e-018
2.464000e+003	2.9612e-018
2.466000e+003	1.8677e-018
2.468000e+003	1.1819e-018
2.470000e+003	7.5401e-019
2.472000e+003	4.9078e-019
2.474000e+003	4.0605e-019
2.476000e+003	3.9255e-019
2.478000e+003	3.7897e-019
2.480000e+003	3.6529e-019
2.482000e+003	3.5154e-019
2.484000e+003	3.3771e-019
2.486000e+003	3.2380e-019
2.488000e+003	3.0983e-019
2.490000e+003	2.9579e-019
2.492000e+003	2.8169e-019
2.494000e+003	1.9219e-019
2.496000e+003	6.9401e-020
2.498000e+003	-3.8208e-020
2.500000e+003	6.9520e-020
