Y (ang)	el Psi 1
1.500000e+003	1.0826e-010
1.502000e+003	1.0923e-010
1.504000e+003	1.1117e-010
1.506000e+003	1.1411e-010
1.508000e+003	1.1808e-010
1.510000e+003	1.2311e-010
1.512000e+003	1.2924e-010
1.514000e+003	1.3654e-010
1.516000e+003	1.4508e-010
1.518000e+003	1.5492e-010
1.520000e+003	1.6617e-010
1.522000e+003	1.7892e-010
1.524000e+003	1.9330e-010
1.526000e+003	2.0944e-010
1.528000e+003	2.2748e-010
1.530000e+003	2.4760e-010
1.532000e+003	2.6998e-010
1.534000e+003	2.9483e-010
1.536000e+003	3.2238e-010
1.538000e+003	3.5289e-010
1.540000e+003	3.8664e-010
1.542000e+003	4.2394e-010
1.544000e+003	4.6515e-010
1.546000e+003	5.1065e-010
1.548000e+003	5.6087e-010
1.550000e+003	6.1628e-010
1.552000e+003	6.7739e-010
1.554000e+003	7.4479e-010
1.556000e+003	8.1911e-010
1.558000e+003	9.0105e-010
1.560000e+003	9.9138e-010
1.562000e+003	1.0910e-009
1.564000e+003	1.2007e-009
1.566000e+003	1.3217e-009
1.568000e+003	1.4551e-009
1.570000e+003	1.6022e-009
1.572000e+003	1.7643e-009
1.574000e+003	1.9429e-009
1.576000e+003	2.1399e-009
1.578000e+003	2.3571e-009
1.580000e+003	2.5966e-009
1.582000e+003	2.8606e-009
1.584000e+003	3.1517e-009
1.586000e+003	3.4727e-009
1.588000e+003	3.8267e-009
1.590000e+003	4.2171e-009
1.592000e+003	4.6476e-009
1.594000e+003	5.1225e-009
1.596000e+003	5.6463e-009
1.598000e+003	6.2241e-009
1.600000e+003	6.8616e-009
1.602000e+003	7.5648e-009
1.604000e+003	8.3407e-009
1.606000e+003	9.1968e-009
1.608000e+003	1.0141e-008
1.610000e+003	1.1184e-008
1.612000e+003	1.2334e-008
1.614000e+003	1.3604e-008
1.616000e+003	1.5005e-008
1.618000e+003	1.6552e-008
1.620000e+003	1.8260e-008
1.622000e+003	2.0145e-008
1.624000e+003	2.2226e-008
1.626000e+003	2.4524e-008
1.628000e+003	2.7061e-008
1.630000e+003	2.9863e-008
1.632000e+003	3.2957e-008
1.634000e+003	3.6374e-008
1.636000e+003	4.0147e-008
1.638000e+003	4.4316e-008
1.640000e+003	4.8920e-008
1.642000e+003	5.4006e-008
1.644000e+003	5.9625e-008
1.646000e+003	6.5833e-008
1.648000e+003	7.2693e-008
1.650000e+003	8.0272e-008
1.652000e+003	8.8647e-008
1.654000e+003	9.7902e-008
1.656000e+003	1.0813e-007
1.658000e+003	1.1944e-007
1.660000e+003	1.3193e-007
1.662000e+003	1.4575e-007
1.664000e+003	1.6102e-007
1.666000e+003	1.7790e-007
1.668000e+003	1.9656e-007
1.670000e+003	2.1720e-007
1.672000e+003	2.4002e-007
1.674000e+003	2.6526e-007
1.676000e+003	2.9316e-007
1.678000e+003	3.2403e-007
1.680000e+003	3.5816e-007
1.682000e+003	3.9592e-007
1.684000e+003	4.3769e-007
1.686000e+003	4.8390e-007
1.688000e+003	5.3502e-007
1.690000e+003	5.9157e-007
1.692000e+003	6.5415e-007
1.694000e+003	7.2340e-007
1.696000e+003	8.0003e-007
1.698000e+003	8.8483e-007
1.700000e+003	9.7869e-007
1.702000e+003	1.0826e-006
1.704000e+003	1.1976e-006
1.706000e+003	1.3248e-006
1.708000e+003	1.4657e-006
1.710000e+003	1.6218e-006
1.712000e+003	1.7945e-006
1.714000e+003	1.9857e-006
1.716000e+003	2.1975e-006
1.718000e+003	2.4320e-006
