Y (ang)	el Psi 1
1.500000e+003	1.0995e-010
1.502000e+003	1.1093e-010
1.504000e+003	1.1290e-010
1.506000e+003	1.1588e-010
1.508000e+003	1.1990e-010
1.510000e+003	1.2499e-010
1.512000e+003	1.3120e-010
1.514000e+003	1.3860e-010
1.516000e+003	1.4724e-010
1.518000e+003	1.5721e-010
1.520000e+003	1.6859e-010
1.522000e+003	1.8151e-010
1.524000e+003	1.9606e-010
1.526000e+003	2.1240e-010
1.528000e+003	2.3066e-010
1.530000e+003	2.5102e-010
1.532000e+003	2.7367e-010
1.534000e+003	2.9881e-010
1.536000e+003	3.2669e-010
1.538000e+003	3.5755e-010
1.540000e+003	3.9169e-010
1.542000e+003	4.2942e-010
1.544000e+003	4.7110e-010
1.546000e+003	5.1711e-010
1.548000e+003	5.6789e-010
1.550000e+003	6.2391e-010
1.552000e+003	6.8569e-010
1.554000e+003	7.5382e-010
1.556000e+003	8.2894e-010
1.558000e+003	9.1175e-010
1.560000e+003	1.0030e-009
1.562000e+003	1.1036e-009
1.564000e+003	1.2146e-009
1.566000e+003	1.3368e-009
1.568000e+003	1.4715e-009
1.570000e+003	1.6200e-009
1.572000e+003	1.7837e-009
1.574000e+003	1.9642e-009
1.576000e+003	2.1630e-009
1.578000e+003	2.3823e-009
1.580000e+003	2.6240e-009
1.582000e+003	2.8905e-009
1.584000e+003	3.1843e-009
1.586000e+003	3.5082e-009
1.588000e+003	3.8654e-009
1.590000e+003	4.2593e-009
1.592000e+003	4.6936e-009
1.594000e+003	5.1727e-009
1.596000e+003	5.7010e-009
1.598000e+003	6.2838e-009
1.600000e+003	6.9266e-009
1.602000e+003	7.6357e-009
1.604000e+003	8.4179e-009
1.606000e+003	9.2810e-009
1.608000e+003	1.0233e-008
1.610000e+003	1.1284e-008
1.612000e+003	1.2443e-008
1.614000e+003	1.3723e-008
1.616000e+003	1.5135e-008
1.618000e+003	1.6694e-008
1.620000e+003	1.8414e-008
1.622000e+003	2.0313e-008
1.624000e+003	2.2409e-008
1.626000e+003	2.4724e-008
1.628000e+003	2.7279e-008
1.630000e+003	3.0100e-008
1.632000e+003	3.3216e-008
1.634000e+003	3.6656e-008
1.636000e+003	4.0455e-008
1.638000e+003	4.4652e-008
1.640000e+003	4.9286e-008
1.642000e+003	5.4406e-008
1.644000e+003	6.0061e-008
1.646000e+003	6.6308e-008
1.648000e+003	7.3210e-008
1.650000e+003	8.0836e-008
1.652000e+003	8.9262e-008
1.654000e+003	9.8573e-008
1.656000e+003	1.0886e-007
1.658000e+003	1.2023e-007
1.660000e+003	1.3280e-007
1.662000e+003	1.4669e-007
1.664000e+003	1.6205e-007
1.666000e+003	1.7903e-007
1.668000e+003	1.9779e-007
1.670000e+003	2.1854e-007
1.672000e+003	2.4148e-007
1.674000e+003	2.6685e-007
1.676000e+003	2.9490e-007
1.678000e+003	3.2592e-007
1.680000e+003	3.6023e-007
1.682000e+003	3.9817e-007
1.684000e+003	4.4014e-007
1.686000e+003	4.8657e-007
1.688000e+003	5.3793e-007
1.690000e+003	5.9475e-007
1.692000e+003	6.5761e-007
1.694000e+003	7.2717e-007
1.696000e+003	8.0414e-007
1.698000e+003	8.8931e-007
1.700000e+003	9.8357e-007
1.702000e+003	1.0879e-006
1.704000e+003	1.2034e-006
1.706000e+003	1.3312e-006
1.708000e+003	1.4726e-006
1.710000e+003	1.6293e-006
1.712000e+003	1.8026e-006
1.714000e+003	1.9946e-006
1.716000e+003	2.2072e-006
1.718000e+003	2.4426e-006
1.720000e+003	2.7032e-006
1.722000e+003	2.9919e-006
1.724000e+003	3.3116e-006
1.726000e+003	3.6657e-006
1.728000e+003	4.0579e-006
1.730000e+003	4.4924e-006
1.732000e+003	4.9738e-006
1.734000e+003	5.5071e-006
1.736000e+003	6.0979e-006
1.738000e+003	6.7526e-006
1.740000e+003	7.4780e-006
1.742000e+003	8.2819e-006
1.744000e+003	9.1729e-006
1.746000e+003	1.0160e-005
1.748000e+003	1.1255e-005
1.750000e+003	1.2468e-005
1.752000e+003	1.3813e-005
1.754000e+003	1.5304e-005
1.756000e+003	1.6956e-005
1.758000e+003	1.8789e-005
1.760000e+003	2.0821e-005
1.762000e+003	2.3074e-005
1.764000e+003	2.5573e-005
1.766000e+003	2.8344e-005
1.768000e+003	3.1417e-005
1.770000e+003	3.4826e-005
1.772000e+003	3.8607e-005
1.774000e+003	4.2802e-005
1.776000e+003	4.7455e-005
1.778000e+003	5.2617e-005
1.780000e+003	5.8345e-005
1.782000e+003	6.4700e-005
1.784000e+003	7.1753e-005
1.786000e+003	7.9579e-005
1.788000e+003	8.8264e-005
1.790000e+003	9.7903e-005
1.792000e+003	1.0860e-004
1.794000e+003	1.2048e-004
1.796000e+003	1.3366e-004
1.798000e+003	1.4830e-004
1.800000e+003	1.6454e-004
1.802000e+003	1.8258e-004
1.804000e+003	2.0261e-004
1.806000e+003	2.2486e-004
1.808000e+003	2.4955e-004
1.810000e+003	2.7698e-004
1.812000e+003	3.0745e-004
1.814000e+003	3.4128e-004
1.816000e+003	3.7887e-004
1.818000e+003	4.2062e-004
1.820000e+003	4.6700e-004
1.822000e+003	5.1852e-004
1.824000e+003	5.7577e-004
1.826000e+003	6.3938e-004
1.828000e+003	7.1006e-004
1.830000e+003	7.8861e-004
1.832000e+003	8.7589e-004
1.834000e+003	9.7290e-004
1.836000e+003	1.0807e-003
1.838000e+003	1.2006e-003
1.840000e+003	1.3338e-003
1.842000e+003	1.4819e-003
1.844000e+003	1.6465e-003
1.846000e+003	1.8296e-003
1.848000e+003	2.0331e-003
1.850000e+003	2.2594e-003
1.852000e+003	2.5111e-003
1.854000e+003	2.7909e-003
1.856000e+003	3.1022e-003
1.858000e+003	3.4484e-003
1.860000e+003	3.8334e-003
1.862000e+003	4.2617e-003
1.864000e+003	4.7382e-003
1.866000e+003	5.2682e-003
1.868000e+003	5.8579e-003
1.870000e+003	6.5140e-003
1.872000e+003	7.2441e-003
1.874000e+003	8.0565e-003
1.876000e+003	8.9605e-003
1.878000e+003	9.9666e-003
1.880000e+003	1.1086e-002
1.882000e+003	1.2333e-002
1.884000e+003	1.3720e-002
1.886000e+003	1.5264e-002
1.888000e+003	1.6983e-002
1.890000e+003	1.8897e-002
1.892000e+003	2.1028e-002
1.894000e+003	2.3401e-002
1.896000e+003	2.6043e-002
1.898000e+003	2.8985e-002
1.900000e+003	3.2261e-002
1.902000e+003	3.5910e-002
1.904000e+003	3.9577e-002
1.906000e+003	4.2794e-002
1.908000e+003	4.5954e-002
1.910000e+003	4.9053e-002
1.912000e+003	5.2087e-002
1.914000e+003	5.5054e-002
1.916000e+003	5.7949e-002
1.918000e+003	6.0770e-002
1.920000e+003	6.3513e-002
1.922000e+003	6.6176e-002
1.924000e+003	6.8756e-002
1.926000e+003	7.1250e-002
1.928000e+003	7.3656e-002
1.930000e+003	7.5972e-002
1.932000e+003	7.8195e-002
1.934000e+003	8.0324e-002
1.936000e+003	8.2356e-002
1.938000e+003	8.4291e-002
1.940000e+003	8.6126e-002
1.942000e+003	8.7860e-002
1.944000e+003	8.9491e-002
1.946000e+003	9.1020e-002
1.948000e+003	9.2444e-002
1.950000e+003	9.3763e-002
1.952000e+003	9.4976e-002
1.954000e+003	9.6083e-002
1.956000e+003	9.7082e-002
1.958000e+003	9.7975e-002
1.960000e+003	9.8760e-002
1.962000e+003	9.9437e-002
1.964000e+003	1.0001e-001
1.966000e+003	1.0047e-001
1.968000e+003	1.0082e-001
1.970000e+003	1.0107e-001
1.972000e+003	1.0121e-001
1.974000e+003	1.0125e-001
1.976000e+003	1.0118e-001
1.978000e+003	1.0100e-001
1.980000e+003	1.0073e-001
1.982000e+003	1.0035e-001
1.984000e+003	9.9863e-002
1.986000e+003	9.9279e-002
1.988000e+003	9.8596e-002
1.990000e+003	9.7814e-002
1.992000e+003	9.6935e-002
1.994000e+003	9.5960e-002
1.996000e+003	9.4891e-002
1.998000e+003	9.3730e-002
2.000000e+003	9.2477e-002
2.002000e+003	9.1135e-002
2.004000e+003	8.9705e-002
2.006000e+003	8.8189e-002
2.008000e+003	8.6588e-002
2.010000e+003	8.4906e-002
2.012000e+003	8.3143e-002
2.014000e+003	8.1302e-002
2.016000e+003	7.9385e-002
2.018000e+003	7.7393e-002
2.020000e+003	7.5330e-002
2.022000e+003	7.3196e-002
2.024000e+003	7.0995e-002
2.026000e+003	6.8729e-002
2.028000e+003	6.6400e-002
2.030000e+003	6.4010e-002
2.032000e+003	6.1562e-002
2.034000e+003	5.9059e-002
2.036000e+003	5.6502e-002
2.038000e+003	5.3894e-002
2.040000e+003	5.1238e-002
2.042000e+003	4.8535e-002
2.044000e+003	4.5790e-002
2.046000e+003	4.3004e-002
2.048000e+003	4.0180e-002
2.050000e+003	3.7321e-002
2.052000e+003	3.4429e-002
2.054000e+003	3.1151e-002
2.056000e+003	2.7898e-002
2.058000e+003	2.4984e-002
2.060000e+003	2.2374e-002
2.062000e+003	2.0037e-002
2.064000e+003	1.7943e-002
2.066000e+003	1.6068e-002
2.068000e+003	1.4389e-002
2.070000e+003	1.2884e-002
2.072000e+003	1.1537e-002
2.074000e+003	1.0331e-002
2.076000e+003	9.2506e-003
2.078000e+003	8.2831e-003
2.080000e+003	7.4166e-003
2.082000e+003	6.6407e-003
2.084000e+003	5.9458e-003
2.086000e+003	5.3236e-003
2.088000e+003	4.7664e-003
2.090000e+003	4.2674e-003
2.092000e+003	3.8206e-003
2.094000e+003	3.4206e-003
2.096000e+003	3.0624e-003
2.098000e+003	2.7416e-003
2.100000e+003	2.4544e-003
2.102000e+003	2.1973e-003
2.104000e+003	1.9670e-003
2.106000e+003	1.7609e-003
2.108000e+003	1.5763e-003
2.110000e+003	1.4111e-003
2.112000e+003	1.2632e-003
2.114000e+003	1.1307e-003
2.116000e+003	1.0121e-003
2.118000e+003	9.0598e-004
2.120000e+003	8.1094e-004
2.122000e+003	7.2586e-004
2.124000e+003	6.4970e-004
2.126000e+003	5.8152e-004
2.128000e+003	5.2049e-004
2.130000e+003	4.6585e-004
2.132000e+003	4.1694e-004
2.134000e+003	3.7316e-004
2.136000e+003	3.3398e-004
2.138000e+003	2.9890e-004
2.140000e+003	2.6750e-004
2.142000e+003	2.3940e-004
2.144000e+003	2.1424e-004
2.146000e+003	1.9173e-004
2.148000e+003	1.7158e-004
2.150000e+003	1.5354e-004
2.152000e+003	1.3740e-004
2.154000e+003	1.2295e-004
2.156000e+003	1.1002e-004
2.158000e+003	9.8453e-005
2.160000e+003	8.8097e-005
2.162000e+003	7.8830e-005
2.164000e+003	7.0536e-005
2.166000e+003	6.3113e-005
2.168000e+003	5.6471e-005
2.170000e+003	5.0527e-005
2.172000e+003	4.5209e-005
2.174000e+003	4.0449e-005
2.176000e+003	3.6190e-005
2.178000e+003	3.2379e-005
2.180000e+003	2.8969e-005
2.182000e+003	2.5918e-005
2.184000e+003	2.3188e-005
2.186000e+003	2.0746e-005
2.188000e+003	1.8560e-005
2.190000e+003	1.6605e-005
2.192000e+003	1.4856e-005
2.194000e+003	1.3291e-005
2.196000e+003	1.1891e-005
2.198000e+003	1.0639e-005
2.200000e+003	9.5188e-006
2.202000e+003	8.5169e-006
2.204000e+003	7.6209e-006
2.206000e+003	6.8196e-006
2.208000e+003	6.1030e-006
2.210000e+003	5.4624e-006
2.212000e+003	4.8898e-006
2.214000e+003	4.3780e-006
2.216000e+003	3.9207e-006
2.218000e+003	3.5122e-006
2.220000e+003	3.1474e-006
2.222000e+003	2.8219e-006
2.224000e+003	2.5316e-006
2.226000e+003	2.2728e-006
2.228000e+003	2.0423e-006
2.230000e+003	1.8373e-006
2.232000e+003	1.6553e-006
2.234000e+003	1.4939e-006
2.236000e+003	1.3511e-006
2.238000e+003	1.2252e-006
2.240000e+003	1.1147e-006
2.242000e+003	1.0180e-006
2.244000e+003	9.3410e-007
2.246000e+003	8.6185e-007
2.248000e+003	8.0039e-007
2.250000e+003	7.4894e-007
2.252000e+003	7.0685e-007
2.254000e+003	5.3458e-007
2.256000e+003	3.3784e-007
2.258000e+003	2.1351e-007
2.260000e+003	1.3496e-007
2.262000e+003	8.5353e-008
2.264000e+003	5.4051e-008
2.266000e+003	3.4344e-008
2.268000e+003	2.2005e-008
2.270000e+003	1.4390e-008
2.272000e+003	9.8630e-009
2.274000e+003	8.5549e-009
2.276000e+003	8.3432e-009
2.278000e+003	8.1271e-009
2.280000e+003	7.9065e-009
2.282000e+003	7.6817e-009
2.284000e+003	7.4527e-009
2.286000e+003	7.2198e-009
2.288000e+003	6.9830e-009
2.290000e+003	6.7426e-009
2.292000e+003	6.4986e-009
2.294000e+003	4.9349e-009
2.296000e+003	3.1163e-009
2.298000e+003	1.9679e-009
2.300000e+003	1.2429e-009
2.302000e+003	7.8542e-010
2.304000e+003	4.9694e-010
2.306000e+003	3.1543e-010
2.308000e+003	2.0183e-010
2.310000e+003	1.3170e-010
2.312000e+003	8.9937e-011
2.314000e+003	7.7781e-011
2.316000e+003	7.5820e-011
2.318000e+003	7.3823e-011
2.320000e+003	7.1790e-011
2.322000e+003	6.9724e-011
2.324000e+003	6.7624e-011
2.326000e+003	6.5493e-011
2.328000e+003	6.3331e-011
2.330000e+003	6.1140e-011
2.332000e+003	5.8920e-011
2.334000e+003	4.4720e-011
2.336000e+003	2.8218e-011
2.338000e+003	1.7805e-011
2.340000e+003	1.1237e-011
2.342000e+003	7.0949e-012
2.344000e+003	4.4850e-012
2.346000e+003	2.8439e-012
2.348000e+003	1.8173e-012
2.350000e+003	1.1833e-012
2.352000e+003	8.0514e-013
2.354000e+003	6.9429e-013
2.356000e+003	6.7647e-013
2.358000e+003	6.5836e-013
2.360000e+003	6.3998e-013
2.362000e+003	6.2133e-013
2.364000e+003	6.0243e-013
2.366000e+003	5.8328e-013
2.368000e+003	5.6391e-013
2.370000e+003	5.4430e-013
2.372000e+003	5.2448e-013
2.374000e+003	3.9788e-013
2.376000e+003	2.5086e-013
2.378000e+003	1.5817e-013
2.380000e+003	9.9740e-014
2.382000e+003	6.2923e-014
2.384000e+003	3.9742e-014
2.386000e+003	2.5175e-014
2.388000e+003	1.6065e-014
2.390000e+003	1.0439e-014
2.392000e+003	7.0773e-015
2.394000e+003	6.0854e-015
2.396000e+003	5.9263e-015
2.398000e+003	5.7651e-015
2.400000e+003	5.6019e-015
2.402000e+003	5.4367e-015
2.404000e+003	5.2697e-015
2.406000e+003	5.1008e-015
2.408000e+003	4.9303e-015
2.410000e+003	4.7580e-015
2.412000e+003	4.5842e-015
2.414000e+003	3.4759e-015
2.416000e+003	2.1898e-015
2.418000e+003	1.3796e-015
2.420000e+003	8.6929e-016
2.422000e+003	5.4797e-016
2.424000e+003	3.4579e-016
2.426000e+003	2.1883e-016
2.428000e+003	1.3946e-016
2.430000e+003	9.0436e-017
2.432000e+003	6.1091e-017
2.434000e+003	5.2378e-017
2.436000e+003	5.0985e-017
2.438000e+003	4.9576e-017
2.440000e+003	4.8153e-017
2.442000e+003	4.6717e-017
2.444000e+003	4.5267e-017
2.446000e+003	4.3805e-017
2.448000e+003	4.2331e-017
2.450000e+003	4.0845e-017
2.452000e+003	3.9348e-017
2.454000e+003	2.9820e-017
2.456000e+003	1.8771e-017
2.458000e+003	1.1816e-017
2.460000e+003	7.4385e-018
2.462000e+003	4.6834e-018
2.464000e+003	2.9502e-018
2.466000e+003	1.8607e-018
2.468000e+003	1.1774e-018
2.470000e+003	7.5113e-019
2.472000e+003	4.8887e-019
2.474000e+003	4.0444e-019
2.476000e+003	3.9100e-019
2.478000e+003	3.7746e-019
2.480000e+003	3.6384e-019
2.482000e+003	3.5013e-019
2.484000e+003	3.3636e-019
2.486000e+003	3.2250e-019
2.488000e+003	3.0859e-019
2.490000e+003	2.9460e-019
2.492000e+003	2.8056e-019
2.494000e+003	1.9142e-019
2.496000e+003	6.9120e-020
2.498000e+003	-3.8055e-020
2.500000e+003	6.9241e-020
