Y (ang)	el Psi 1
1.500000e+003	1.0642e-010
1.502000e+003	1.0738e-010
1.504000e+003	1.0929e-010
1.506000e+003	1.1220e-010
1.508000e+003	1.1611e-010
1.510000e+003	1.2106e-010
1.512000e+003	1.2712e-010
1.514000e+003	1.3432e-010
1.516000e+003	1.4273e-010
1.518000e+003	1.5244e-010
1.520000e+003	1.6354e-010
1.522000e+003	1.7612e-010
1.524000e+003	1.9031e-010
1.526000e+003	2.0623e-010
1.528000e+003	2.2404e-010
1.530000e+003	2.4389e-010
1.532000e+003	2.6598e-010
1.534000e+003	2.9051e-010
1.536000e+003	3.1771e-010
1.538000e+003	3.4783e-010
1.540000e+003	3.8115e-010
1.542000e+003	4.1799e-010
1.544000e+003	4.5869e-010
1.546000e+003	5.0363e-010
1.548000e+003	5.5324e-010
1.550000e+003	6.0798e-010
1.552000e+003	6.6836e-010
1.554000e+003	7.3497e-010
1.556000e+003	8.0842e-010
1.558000e+003	8.8941e-010
1.560000e+003	9.7870e-010
1.562000e+003	1.0772e-009
1.564000e+003	1.1857e-009
1.566000e+003	1.3054e-009
1.568000e+003	1.4373e-009
1.570000e+003	1.5827e-009
1.572000e+003	1.7431e-009
1.574000e+003	1.9198e-009
1.576000e+003	2.1148e-009
1.578000e+003	2.3297e-009
1.580000e+003	2.5667e-009
1.582000e+003	2.8280e-009
1.584000e+003	3.1161e-009
1.586000e+003	3.4339e-009
1.588000e+003	3.7844e-009
1.590000e+003	4.1710e-009
1.592000e+003	4.5974e-009
1.594000e+003	5.0678e-009
1.596000e+003	5.5867e-009
1.598000e+003	6.1591e-009
1.600000e+003	6.7906e-009
1.602000e+003	7.4875e-009
1.604000e+003	8.2564e-009
1.606000e+003	9.1048e-009
1.608000e+003	1.0041e-008
1.610000e+003	1.1075e-008
1.612000e+003	1.2215e-008
1.614000e+003	1.3474e-008
1.616000e+003	1.4864e-008
1.618000e+003	1.6398e-008
1.620000e+003	1.8091e-008
1.622000e+003	1.9961e-008
1.624000e+003	2.2026e-008
1.626000e+003	2.4306e-008
1.628000e+003	2.6823e-008
1.630000e+003	2.9603e-008
1.632000e+003	3.2674e-008
1.634000e+003	3.6065e-008
1.636000e+003	3.9811e-008
1.638000e+003	4.3949e-008
1.640000e+003	4.8520e-008
1.642000e+003	5.3570e-008
1.644000e+003	5.9149e-008
1.646000e+003	6.5314e-008
1.648000e+003	7.2127e-008
1.650000e+003	7.9654e-008
1.652000e+003	8.7974e-008
1.654000e+003	9.7169e-008
1.656000e+003	1.0733e-007
1.658000e+003	1.1856e-007
1.660000e+003	1.3098e-007
1.662000e+003	1.4471e-007
