Y (ang)	el Psi 1
1.500000e+003	1.0911e-010
1.502000e+003	1.1008e-010
1.504000e+003	1.1204e-010
1.506000e+003	1.1500e-010
1.508000e+003	1.1899e-010
1.510000e+003	1.2405e-010
1.512000e+003	1.3023e-010
1.514000e+003	1.3757e-010
1.516000e+003	1.4616e-010
1.518000e+003	1.5607e-010
1.520000e+003	1.6738e-010
1.522000e+003	1.8022e-010
1.524000e+003	1.9469e-010
1.526000e+003	2.1092e-010
1.528000e+003	2.2908e-010
1.530000e+003	2.4932e-010
1.532000e+003	2.7183e-010
1.534000e+003	2.9683e-010
1.536000e+003	3.2454e-010
1.538000e+003	3.5523e-010
1.540000e+003	3.8917e-010
1.542000e+003	4.2669e-010
1.544000e+003	4.6814e-010
1.546000e+003	5.1389e-010
1.548000e+003	5.6439e-010
1.550000e+003	6.2011e-010
1.552000e+003	6.8156e-010
1.554000e+003	7.4932e-010
1.556000e+003	8.2404e-010
1.558000e+003	9.0642e-010
1.560000e+003	9.9722e-010
1.562000e+003	1.0973e-009
1.564000e+003	1.2077e-009
1.566000e+003	1.3293e-009
1.568000e+003	1.4634e-009
1.570000e+003	1.6111e-009
1.572000e+003	1.7740e-009
1.574000e+003	1.9536e-009
1.576000e+003	2.1515e-009
1.578000e+003	2.3698e-009
1.580000e+003	2.6103e-009
1.582000e+003	2.8756e-009
1.584000e+003	3.1680e-009
1.586000e+003	3.4905e-009
1.588000e+003	3.8461e-009
1.590000e+003	4.2382e-009
1.592000e+003	4.6707e-009
1.594000e+003	5.1477e-009
1.596000e+003	5.6738e-009
1.598000e+003	6.2541e-009
1.600000e+003	6.8942e-009
1.602000e+003	7.6004e-009
1.604000e+003	8.3794e-009
1.606000e+003	9.2390e-009
1.608000e+003	1.0188e-008
1.610000e+003	1.1234e-008
1.612000e+003	1.2389e-008
1.614000e+003	1.3664e-008
1.616000e+003	1.5071e-008
1.618000e+003	1.6623e-008
1.620000e+003	1.8337e-008
1.622000e+003	2.0229e-008
1.624000e+003	2.2318e-008
1.626000e+003	2.4624e-008
1.628000e+003	2.7171e-008
1.630000e+003	2.9982e-008
1.632000e+003	3.3087e-008
1.634000e+003	3.6515e-008
1.636000e+003	4.0302e-008
1.638000e+003	4.4484e-008
1.640000e+003	4.9104e-008
1.642000e+003	5.4207e-008
1.644000e+003	5.9844e-008
1.646000e+003	6.6072e-008
1.648000e+003	7.2952e-008
1.650000e+003	8.0555e-008
1.652000e+003	8.8956e-008
1.654000e+003	9.8239e-008
1.656000e+003	1.0850e-007
1.658000e+003	1.1984e-007
1.660000e+003	1.3237e-007
1.662000e+003	1.4622e-007
1.664000e+003	1.6154e-007
1.666000e+003	1.7847e-007
1.668000e+003	1.9718e-007
1.670000e+003	2.1787e-007
1.672000e+003	2.4075e-007
1.674000e+003	2.6605e-007
1.676000e+003	2.9403e-007
1.678000e+003	3.2498e-007
1.680000e+003	3.5920e-007
1.682000e+003	3.9705e-007
1.684000e+003	4.3892e-007
1.686000e+003	4.8524e-007
1.688000e+003	5.3648e-007
1.690000e+003	5.9317e-007
1.692000e+003	6.5589e-007
1.694000e+003	7.2529e-007
1.696000e+003	8.0209e-007
1.698000e+003	8.8708e-007
1.700000e+003	9.8114e-007
1.702000e+003	1.0852e-006
1.704000e+003	1.2005e-006
1.706000e+003	1.3280e-006
1.708000e+003	1.4692e-006
1.710000e+003	1.6255e-006
1.712000e+003	1.7986e-006
1.714000e+003	1.9902e-006
1.716000e+003	2.2024e-006
1.718000e+003	2.4373e-006
1.720000e+003	2.6975e-006
1.722000e+003	2.9856e-006
1.724000e+003	3.3048e-006
1.726000e+003	3.6583e-006
1.728000e+003	4.0499e-006
1.730000e+003	4.4836e-006
1.732000e+003	4.9642e-006
1.734000e+003	5.4966e-006
1.736000e+003	6.0865e-006
1.738000e+003	6.7402e-006
1.740000e+003	7.4645e-006
1.742000e+003	8.2673e-006
1.744000e+003	9.1569e-006
1.746000e+003	1.0143e-005
1.748000e+003	1.1236e-005
1.750000e+003	1.2447e-005
